no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
1,536824B002,해남군 옥천면,2015-01-01,-1.3,0.6,-2.9,80,295.2,2.3,0.8,,7.8,,,3.36,25.9
1,330846A001,천안시 목천읍,2015-01-01,-6.2,-3.8,-8.3,,,0,0,,,1429,,,
1,627911A001,밀양시 상남면,2015-01-01,-3.2,0.2,-7.2,40.1,282.7,2.9,0,516,11,0,,2.2,28.5
1,539823A001,진도군 군내면,2015-01-01,-0.8,1.6,-2.8,79.2,257,3.5,1.5,217,8.2,652,,5.02,30.6
1,590823A001,남원시 이백면,2015-01-01,-4.1,-1.3,-6,60.7,286.7,2.1,0.5,310,7.7,0,-4.3,2.16,20.3
1,429843A001,시흥시 하중동,2015-01-01,-6,-3.8,-7.9,46.3,298.5,1.6,0,332,9.3,,,,
1,742290A001,상주시 초산동,2015-01-01,-5.8,-2.2,-8.8,46.1,262.3,2.6,0,130,10,0,-6,2.8,38.7
1,635821A001,창녕군 대지면,2015-01-01,-3.4,-0.1,-8.6,43.5,342.5,3.1,0,538,9.1,0,-3.6,1.38,
1,618803A001,부산시 강서구,2015-01-01,-1.8,0.9,-4.4,43,299.1,4.1,0,,21.3,0,,4.34,16.1
1,487915A001,포천시 신북면,2015-01-01,-8.8,-5.5,-11.6,50.3,92,1.2,0,541,21.3,,-8.8,,24.1
1,269811A001,철원군 동송읍,2015-01-01,-8.5,-5.7,-10.7,56.5,219.5,3,0,,11.3,0,-4.6,1.28,
1,714902A001,청도군 화양읍,2015-01-01,-4.4,-0.6,-7.6,42.8,,0,0,511,13.1,0,,,
1,660985B001,진주시 초전동,2015-01-01,-2.3,-0.2,-5.4,46.3,326.9,3.8,0,,11.1,0,,1.14,29.8
2,618803A001,부산시 강서구,2015-01-02,-1.4,3.6,-6.3,51.6,284.8,3.2,0,,20.2,0,,3.8,15
2,487915A001,포천시 신북면,2015-01-02,-8.5,-2.5,-13.4,64.6,86.2,0.8,0,545,21.9,,-8.5,,24.3
2,269811A001,철원군 동송읍,2015-01-02,-8,-2.8,-12.5,66.5,227.5,2,0,,11.4,0,-4.6,1.15,
2,714902A001,청도군 화양읍,2015-01-02,-4.8,0.9,-11,54.9,,0,0,420,9.7,0,,,
2,330846A001,천안시 목천읍,2015-01-02,-5.6,-1.2,-10.7,,,0,0,,,1429,,,
2,539823A001,진도군 군내면,2015-01-02,1.9,6,-0.9,65.1,274,3.9,0,186,6.8,100,,4.97,32.3
2,590823A001,남원시 이백면,2015-01-02,-4.2,-0.4,-8.9,82.1,266.4,1.1,0,186,5.6,269,-4.1,1.99,20
2,429843A001,시흥시 하중동,2015-01-02,-4.9,-0.6,-8.6,53.1,295.5,0.7,0,292,8.7,,,,
2,635821A001,창녕군 대지면,2015-01-02,-5.1,2,-10.8,63.6,344.2,1.3,0,497,7.5,0,-4.6,1.07,
2,660985B001,진주시 초전동,2015-01-02,-2.9,3,-8.1,65.8,353,1.8,0,,9.4,0,,0.7,28.9
2,536824B002,해남군 옥천면,2015-01-02,0.8,6,-5.3,72,292,1.7,0.8,,7.9,,,3.49,26.9
2,742290A001,상주시 초산동,2015-01-02,-4,0.7,-7.7,51.9,253.6,1.6,0,105,9.4,0,-4,2.8,38.5
2,627911A001,밀양시 상남면,2015-01-02,-3.8,2.8,-9.5,53.3,279.8,1.8,0,521,10.6,0,,1.52,28.4
3,429843A001,시흥시 하중동,2015-01-03,-3.3,3,-11.4,65.6,,0,0,303,8.8,,,,
3,330846A001,천안시 목천읍,2015-01-03,-5.1,1.9,-12.3,,,0,0,,,1429,,,
3,627911A001,밀양시 상남면,2015-01-03,-2.4,6.5,-10.1,48.1,221.1,1,0,524,11,0,,1.1,28.2
3,618803A001,부산시 강서구,2015-01-03,-0.4,6.2,-6.1,45.9,269.3,2.4,0,,22.4,0,,3.53,14.8
3,487915A001,포천시 신북면,2015-01-03,-6.4,1.4,-15.2,71,254.8,0.5,0,483,17.7,,-6.4,,24.5
3,742290A001,상주시 초산동,2015-01-03,-2.8,3.3,-9.9,56,234.3,1.1,0,117,9.7,0,-3.1,2.71,37.9
3,539823A001,진도군 군내면,2015-01-03,0.9,7,-3.9,77.6,208,0.5,0,439,10.6,362,,4.74,33.1
3,590823A001,남원시 이백면,2015-01-03,-4.6,3.6,-11.4,79.3,183.4,0.7,0,487,10,471,-3.9,1.68,19.2
3,635821A001,창녕군 대지면,2015-01-03,-3.7,5.3,-11.8,58.9,347.1,0.9,0,514,9.2,0,-3.3,0.69,
3,660985B001,진주시 초전동,2015-01-03,-3,6.1,-10.2,63.7,205.6,0.1,0,,10.6,0,,0.44,28.2
3,536824B002,해남군 옥천면,2015-01-03,-1,6,-7.8,81.4,311,0.4,0,,10.4,,,2.57,26.9
3,714902A001,청도군 화양읍,2015-01-03,-3.6,6.2,-12.2,52.1,,0,0,516,12.7,0,,,
3,269811A001,철원군 동송읍,2015-01-03,-6.4,1.1,-15.5,76.4,108.4,1.5,0,,11,0,-4,0.99,
1,534833E001,무안군 청계면,2015-01-03,3.3,6.4,0.7,71.3,42.2,0.2,0,222,3.8,,2.8,3.77,5
4,536824B002,해남군 옥천면,2015-01-04,3.2,11.7,-2.5,85,303,0.4,0,,9.5,,,3.38,26.8
4,269811A001,철원군 동송읍,2015-01-04,0.5,5.2,-4.9,91.8,118.1,1.1,0,,6.2,0,-0.8,0.9,
4,429843A001,시흥시 하중동,2015-01-04,2.7,8.2,-2.6,77.7,121.8,0,0,70,5.6,,,,
4,330846A001,천안시 목천읍,2015-01-04,1.1,9.4,-4.4,,,0,0,,,1429,,,
4,660985B001,진주시 초전동,2015-01-04,0.7,11.6,-6.6,78.1,180,0.3,0,,10.1,0,,0.43,28.3
4,635821A001,창녕군 대지면,2015-01-04,0,11.2,-6.5,70.8,49.6,0.5,0,465,8,0,-0.2,0.7,
4,627911A001,밀양시 상남면,2015-01-04,1.1,11.1,-5.5,64.4,148.7,0.7,0,507,10,23,,1.15,28.1
4,714902A001,청도군 화양읍,2015-01-04,0.2,11.5,-7.3,66.8,,0,0,514,11.3,6,,,
4,590823A001,남원시 이백면,2015-01-04,1.3,10.2,-2.9,83.2,140.5,0.7,0,334,8.4,534,1.1,1.6,20.2
4,539823A001,진도군 군내면,2015-01-04,4,11.7,-1.6,86.1,275.3,0.7,0,456,9.7,953,,4.92,32.4
4,742290A001,상주시 초산동,2015-01-04,0.8,10.1,-4.3,74.3,254,0.6,0,63,6.9,192,0.7,2.67,37.7
2,534833E001,무안군 청계면,2015-01-04,4.2,11.5,-0.7,82.6,17.9,0.6,0,477,9.9,,3.2,4,5
4,618803A001,부산시 강서구,2015-01-04,3.1,12.4,-4,69.1,310.8,0.7,0,,19,0,,3.51,15.4
4,487915A001,포천시 신북면,2015-01-04,0.9,6.2,-4.2,83.6,237.4,0.5,0,306,4.9,,0.9,,24
5,742290A001,상주시 초산동,2015-01-05,0.1,6.9,-5.5,85.1,111.7,0.3,1,3,5.6,851,0.1,2.62,37.8
5,635821A001,창녕군 대지면,2015-01-05,1.4,10,-6.1,80.1,230,0.6,2,271,6.2,284,1.2,0.8,
5,618803A001,부산시 강서구,2015-01-05,4.9,12.3,-2.3,81,53.5,0.6,1,,13.2,39,,3.87,15.9
5,487915A001,포천시 신북면,2015-01-05,0.2,7.5,-6.5,86.3,252.8,0.3,0.5,390,5.3,,0.2,,23.9
5,714902A001,청도군 화양읍,2015-01-05,2.2,10.3,-6.2,79.3,,0,1,226,7.9,223,,,
5,539823A001,진도군 군내면,2015-01-05,6.7,14.4,-2.5,84.5,104.9,1.6,3,256,7.3,819,,4.97,32
5,330846A001,천안시 목천읍,2015-01-05,1.8,7.7,-3.1,,,0,0.5,,,1429,,,
5,660985B001,진주시 초전동,2015-01-05,2.4,10.6,-4.9,83.4,51.5,0.2,6,,7,220,,0.72,28.5
5,429843A001,시흥시 하중동,2015-01-05,3.2,10.1,-3.5,76.5,117.2,0.3,1.5,156,6.6,,,,
5,627911A001,밀양시 상남면,2015-01-05,2.3,9.8,-4.6,79.6,125.8,0.5,1.5,232,7.6,287,,1.68,28
5,590823A001,남원시 이백면,2015-01-05,2.8,10.9,-4.1,83,178.1,0.9,8.5,339,8,923,2.3,1.75,20.7
3,534833E001,무안군 청계면,2015-01-05,6.5,13,-1.3,85.2,85.8,0.8,10.5,203,7.5,,5.6,4.43,5
5,536824B002,해남군 옥천면,2015-01-05,5.3,12.6,-3.1,87.6,119.1,0.5,6.2,,7.4,,,3.87,26.9
5,269811A001,철원군 동송읍,2015-01-05,-0.7,6.2,-6.9,91.8,277.5,0.5,1,,7.5,255,-1.2,0.9,
6,539823A001,진도군 군내면,2015-01-06,4.5,14.5,0.2,69.1,255.4,3.6,0,434,11.8,225,,5.86,33.7
6,635821A001,창녕군 대지면,2015-01-06,4.5,7.5,-1,57.2,4.8,2.9,4.5,509,9.1,480,3.8,0.88,
4,534833E001,무안군 청계면,2015-01-06,4,13.5,-0.1,72.2,309.8,2.7,0,467,12.5,,3.3,5.64,5
6,618803A001,부산시 강서구,2015-01-06,7,10.9,1.1,59,306.4,3.7,13.5,,20.8,260,,4.89,21.6
6,536824B002,해남군 옥천면,2015-01-06,4.7,14.6,-0.2,64.9,295.9,2.6,0.4,,11.6,,,5.01,32
6,660985B001,진주시 초전동,2015-01-06,5.5,8.9,0.7,59.3,342.9,2.9,6,,11.3,325,,2.6,34.1
6,487915A001,포천시 신북면,2015-01-06,-3.3,1.4,-8.7,67.7,90,1.4,2,532,23.6,,-3.3,,23.7
6,742290A001,상주시 초산동,2015-01-06,1.2,4.7,-4.7,61.9,257.5,1.7,6,154,10.2,548,1.1,2.6,39.7
6,330846A001,천안시 목천읍,2015-01-06,-1.1,3.4,-6.3,,,0,4.5,,,1429,,,
6,429843A001,시흥시 하중동,2015-01-06,-1.1,3.9,-5.2,58,299,2,2,353,10.1,,,,
6,269811A001,철원군 동송읍,2015-01-06,-3.8,1.7,-11.2,71.4,246.2,3,0,,0.1,330,-1.5,0.9,8.6
6,590823A001,남원시 이백면,2015-01-06,3,7.2,-2.5,67.9,276,2.2,5,339,9.3,297,2.7,3.05,23.6
6,714902A001,청도군 화양읍,2015-01-06,4.2,7.9,-1.7,56.1,,0,5.5,518,13.5,389,,,
6,627911A001,밀양시 상남면,2015-01-06,5.4,8.6,0,53.9,287.8,3.1,10,488,11.3,529,,3.78,31
7,487915A001,포천시 신북면,2015-01-07,-7.4,-2.8,-11.3,50.5,107.2,0.7,0,536,22.7,,-7.4,,24
7,635821A001,창녕군 대지면,2015-01-07,-1.2,2.4,-5.9,34,359.9,3.1,0,513,9.5,0,-1.5,1.13,
7,536824B002,해남군 옥천면,2015-01-07,0.2,3.4,-3.1,61.7,299.3,2.6,0,,8.4,,,3.32,28.7
7,660985B001,진주시 초전동,2015-01-07,0.3,4.5,-2.9,37.3,31.7,3.4,0,,10.7,0,,1.53,33
7,330846A001,천안시 목천읍,2015-01-07,-4.8,-0.4,-8.3,,,0,0,,,1429,,,
7,429843A001,시흥시 하중동,2015-01-07,-4.1,-0.6,-7.3,39.3,300.4,0.2,0,353,9.8,,,,
7,269811A001,철원군 동송읍,2015-01-07,-8.6,-2.1,-13.2,68,23.1,0.6,0.5,,11.5,70,-4.1,0.9,7.8
7,618803A001,부산시 강서구,2015-01-07,0.4,3.9,-3.8,30.4,308.4,2.4,0,,20.4,0,,4.27,24
7,714902A001,청도군 화양읍,2015-01-07,-1.8,1.6,-4.9,29.5,,0,0,507,15,0,,,
7,627911A001,밀양시 상남면,2015-01-07,-0.7,3.3,-3.3,29.6,279.2,2.7,0,485,11.4,0,,2.91,30.4
7,539823A001,진도군 군내면,2015-01-07,0.8,2.9,-2,64.3,239.7,2.6,0,125,5.9,0,,5.42,32.7
7,742290A001,상주시 초산동,2015-01-07,-3.7,1.6,-7.2,38.7,251.4,1.4,0,163,10.6,0,-3.7,2.6,38.7
5,534833E001,무안군 청계면,2015-01-07,-0.1,3,-3.6,65.1,335.9,2,0,421,10.2,,-0.7,3.07,5
7,590823A001,남원시 이백면,2015-01-07,-3.2,0.7,-7.4,57.9,269.9,1.4,0,459,9.9,0,-3,2.43,21.4
8,429843A001,시흥시 하중동,2015-01-08,-5.5,0.2,-10.5,59.4,,0,0,354,9.5,,,,
8,536824B002,해남군 옥천면,2015-01-08,2,5.5,-1.4,66.8,300.1,1.8,0,,10.3,,,3.34,27.5
8,618803A001,부산시 강서구,2015-01-08,-1.2,5.1,-6.7,51.9,274.8,1.3,0,,22.2,0,,3.55,23.2
8,539823A001,진도군 군내면,2015-01-08,2.9,6,1.4,64.7,247.4,2.7,0,184,7.5,0,,5.25,32
8,330846A001,천안시 목천읍,2015-01-08,-5.4,1.7,-11.2,,,0,0,,,1429,,,
8,635821A001,창녕군 대지면,2015-01-08,-3.3,4.7,-9.6,58.7,11.6,1.1,0,543,9.4,0,-3.1,1.17,
8,742290A001,상주시 초산동,2015-01-08,-2.6,3.7,-8.7,48.4,261.1,1.7,0,152,10.3,0,-2.8,2.51,37.9
8,627911A001,밀양시 상남면,2015-01-08,-1.7,6,-7.5,45.3,266.5,1.2,0,525,11.6,0,,2.1,29.9
6,534833E001,무안군 청계면,2015-01-08,2.1,4.8,-2.1,75.3,321.4,1.2,0,123,5.6,,1.5,3.53,5
8,660985B001,진주시 초전동,2015-01-08,-0.8,6.4,-7.6,57.3,39,1.1,0,,11.7,0,,0.94,31.9
8,590823A001,남원시 이백면,2015-01-08,-2.8,3.3,-8.8,73.8,327.3,1.2,0,523,12.2,0,-2.4,1.9,20.7
8,487915A001,포천시 신북면,2015-01-08,-8.8,-1.4,-15.1,69.1,133.3,0.3,0,522,19.5,,-8.8,,24.5
8,269811A001,철원군 동송읍,2015-01-08,-9.8,-0.8,-16.2,77.1,285,0.5,0,,11.5,12,-4.9,0.85,5.8
8,714902A001,청도군 화양읍,2015-01-08,-3.2,5.5,-10,54,,0,0,520,14.5,0,,,
9,635821A001,창녕군 대지면,2015-01-09,-2,6.8,-8.9,70.1,11.5,1,0,362,7.6,0,-1.9,1.12,
9,536824B002,해남군 옥천면,2015-01-09,3.9,7.8,-1.4,66.2,289.2,1.1,0,,8.8,,,3.59,26.8
9,539823A001,진도군 군내면,2015-01-09,4.1,7.8,-2,65.7,269.7,2.2,0,402,9.5,208,,5.29,31.4
9,714902A001,청도군 화양읍,2015-01-09,-2.1,5.3,-8.6,68.1,,0,0,422,11.6,0,,,
9,742290A001,상주시 초산동,2015-01-09,-0.2,5.4,-5.7,61.4,240.5,1.3,0,92,8.7,0,-0.7,2.43,37
9,590823A001,남원시 이백면,2015-01-09,0.4,4.2,-3.2,77.8,245.2,0.8,0,159,6.3,0,-0.1,1.79,20.7
9,618803A001,부산시 강서구,2015-01-09,0.9,6.3,-5.2,58.6,283.6,2.6,0,,21.3,0,,3.13,22.3
9,660985B001,진주시 초전동,2015-01-09,0.1,6.4,-7.4,68.6,345.5,2.1,0,,10.7,0,,0.8,31.1
9,627911A001,밀양시 상남면,2015-01-09,-0.5,6.8,-6.7,59.9,266.4,1.3,0,507,10.8,0,,1.79,29.5
9,269811A001,철원군 동송읍,2015-01-09,-6.9,1.8,-14.8,74.7,221.3,0.8,0,,11.8,0,-4.1,0.74,5
7,534833E001,무안군 청계면,2015-01-09,2.4,7.8,-2.8,77.6,298.5,0.6,0,384,9.1,,1.1,3.11,5
9,429843A001,시흥시 하중동,2015-01-09,-3.6,3.3,-8.9,76.7,,0,0,183,6.4,,,,
9,487915A001,포천시 신북면,2015-01-09,-6.2,1.9,-13.6,72.7,94.8,0.3,0,505,18.1,,-6.2,,24.6
9,330846A001,천안시 목천읍,2015-01-09,-3.1,3,-8.8,,,0,0,,,1429,,,
10,429843A001,시흥시 하중동,2015-01-10,-1.7,5.7,-8.3,73.6,287,0,0,341,10,,,,
10,487915A001,포천시 신북면,2015-01-10,-3.9,4.1,-12.2,76.7,241.7,0.4,0,478,17,,-3.9,,24.4
10,536824B002,해남군 옥천면,2015-01-10,3.3,7.8,-3.3,71,286.1,0.8,0,,11,,,3.56,26.3
10,269811A001,철원군 동송읍,2015-01-10,-4.3,3.2,-13.7,78.8,137.5,1.9,0,,11.5,0,-3.1,0.62,5
10,618803A001,부산시 강서구,2015-01-10,0.5,7.3,-5.8,64.9,276.1,1.2,0,,22.5,0,,3.02,21.9
10,742290A001,상주시 초산동,2015-01-10,1.6,6.8,-3.6,53.1,249.3,1.7,0,151,10.3,0,1.1,2.4,36.5
10,330846A001,천안시 목천읍,2015-01-10,-1,5.9,-6.7,,,0,0,,,1429,,,
10,590823A001,남원시 이백면,2015-01-10,0.9,6.5,-3.8,71.2,278.2,1.2,0,526,11.9,0,0.8,1.89,20.9
10,660985B001,진주시 초전동,2015-01-10,1.7,8.3,-3.7,61.4,268,0.9,0,,11.5,0,,1.12,30.7
8,534833E001,무안군 청계면,2015-01-10,1.8,7.8,-2.7,81.8,302.2,0.4,0,462,11.4,,0.6,3.21,5
10,539823A001,진도군 군내면,2015-01-10,3.7,8.2,-3.7,69.2,263.2,1.3,0,452,10.9,299,,5.18,30.9
10,714902A001,청도군 화양읍,2015-01-10,-0.8,7.7,-7.5,63,,0,0,522,14.4,0,,,
10,627911A001,밀양시 상남면,2015-01-10,-0.2,7.8,-6.2,61.8,256.1,1,0,526,11.7,0,,1.87,29.3
10,635821A001,창녕군 대지면,2015-01-10,-1.3,8,-8.3,67.8,61,0.8,0,546,10,13,-1.3,1.06,
9,534833E001,무안군 청계면,2015-01-11,1.2,6.9,-3.7,79.2,314.7,1.4,0,363,9.9,,0.2,2.68,5
11,742290A001,상주시 초산동,2015-01-11,1.8,5.8,-2.3,56.9,254,2.3,0.5,161,10.2,205,1.3,2.4,36.4
11,627911A001,밀양시 상남면,2015-01-11,-0.1,9.6,-7,57.9,282.9,1.5,0,451,10,0,,1.85,29.1
11,618803A001,부산시 강서구,2015-01-11,1.3,9.3,-6,59.8,299.1,1.7,0,,19.4,57,,2.89,21.7
11,429843A001,시흥시 하중동,2015-01-11,0.5,2.6,-2.7,62.4,292.5,0.7,0,356,9.4,,,,
11,269811A001,철원군 동송읍,2015-01-11,0,3.7,-4.9,70.4,220.2,3.8,0,,10.8,0,-0.9,0.6,6
11,635821A001,창녕군 대지면,2015-01-11,-0.6,9.2,-7.3,62.7,346.2,1.4,0,490,8.7,0,-0.8,1.05,
11,536824B002,해남군 옥천면,2015-01-11,2.1,8.4,-4.5,73.3,297.1,1.5,0,,10.7,,,3.17,25.9
11,330846A001,천안시 목천읍,2015-01-11,-0.9,2.8,-5,,,0,0,,,1429,,,
11,487915A001,포천시 신북면,2015-01-11,-0.6,2,-5.3,67.4,89.6,1.5,0,543,14.4,,-0.6,,24.1
11,590823A001,남원시 이백면,2015-01-11,-1.1,5.4,-5.5,78.9,255.8,1.4,0,418,10.3,65,-1.2,1.88,20.6
11,660985B001,진주시 초전동,2015-01-11,0.4,8.8,-6.7,66.4,351.5,1.8,0,,10.4,0,,1.04,30.8
11,539823A001,진도군 군내면,2015-01-11,2.6,8.2,-3.9,74.3,251.6,2.1,0,388,10.2,653,,4.78,30.5
11,714902A001,청도군 화양읍,2015-01-11,-1.1,8.4,-8.4,60.2,,0,0,477,12,0,,,
12,536824B002,해남군 옥천면,2015-01-12,-0.4,5.2,-6.7,65.1,303.9,0.9,0,,12.1,,,2.87,25.5
12,539823A001,진도군 군내면,2015-01-12,0.1,4.5,-5.9,65.1,223.5,1.3,0,497,12.3,700,,4.72,30.2
10,534833E001,무안군 청계면,2015-01-12,-0.7,4.2,-5.8,69.6,319,0.6,0,523,12.9,,-1.6,2.43,5
12,714902A001,청도군 화양읍,2015-01-12,-0.9,6.9,-6.5,53,,0,0,523,13.9,0,,,
12,590823A001,남원시 이백면,2015-01-12,-2.2,4.9,-7.7,67.4,168.6,0.9,0,527,12.2,0,-1.9,1.76,20.3
12,269811A001,철원군 동송읍,2015-01-12,-6.3,2.3,-13.1,72.7,278.8,0.7,0,,12.1,0,-3.3,0.57,5.8
12,487915A001,포천시 신북면,2015-01-12,-5.6,3.2,-12.5,59.9,122.4,0.5,0,545,21.4,,-5.6,,24.3
12,429843A001,시흥시 하중동,2015-01-12,-3.2,2,-8.6,52.8,281.7,0,0,357,9.5,,,,
12,635821A001,창녕군 대지면,2015-01-12,-1.7,5.6,-6.3,58.5,353.8,1.2,0,536,9.6,0,-2.1,1.03,
12,618803A001,부산시 강서구,2015-01-12,0.8,6.2,-3.3,55.5,288.5,1.4,0,,21.4,0,,2.88,21.7
12,660985B001,진주시 초전동,2015-01-12,-0.4,5.7,-5.2,58.6,40.3,1.3,0,,11.6,0,,0.88,30.7
12,742290A001,상주시 초산동,2015-01-12,-2.4,6.2,-8.1,55.8,200.2,0.5,0,163,10.5,0,-2.7,2.34,36.1
12,627911A001,밀양시 상남면,2015-01-12,-0.3,7.6,-6,53.9,273.1,1.3,0,520,11.3,0,,1.8,28.9
12,330846A001,천안시 목천읍,2015-01-12,-3.2,2.8,-8.5,,,0,0,,,1429,,,
13,618803A001,부산시 강서구,2015-01-13,1.9,9.1,-4.7,69,323.6,0.7,0,,19.5,15,,2.93,21.7
13,660985B001,진주시 초전동,2015-01-13,-0.1,8.6,-7.5,74.1,30.2,0.1,0,,9,0,,0.8,30
13,590823A001,남원시 이백면,2015-01-13,-0.2,8.7,-7.5,72.6,178.2,0.7,0,367,10,0,-0.4,1.62,19.9
13,330846A001,천안시 목천읍,2015-01-13,-2.1,5.7,-9.1,,,0,0,,,1429,,,
13,714902A001,청도군 화양읍,2015-01-13,-0.8,9.3,-8.7,68.5,,0,0,412,12.5,0,,,
13,742290A001,상주시 초산동,2015-01-13,-2.6,7.8,-10,68.8,130.9,0.3,0,67,9.5,0,-2.6,2.29,35
13,627911A001,밀양시 상남면,2015-01-13,0.4,8.7,-6.5,69.8,137.6,0.6,0,417,10.2,0,,1.86,28.8
13,536824B002,해남군 옥천면,2015-01-13,1.7,10.9,-7.1,77.6,127.8,0.3,0,,9.4,,,2.56,25.1
13,269811A001,철원군 동송읍,2015-01-13,-6.1,3.2,-12.3,79,268.2,0.6,0,,7.2,0,-3.8,0.5,5
13,539823A001,진도군 군내면,2015-01-13,1.9,9.9,-6.1,74.6,88,0.9,0,254,8.6,574,,4.14,30
13,429843A001,시흥시 하중동,2015-01-13,-1.1,7.2,-8.3,61.5,,0,0,260,8.6,,,,
13,487915A001,포천시 신북면,2015-01-13,-4.7,4.9,-11.9,69,113.2,0.4,0,427,6.9,,-4.7,,24.5
13,635821A001,창녕군 대지면,2015-01-13,-1.2,8.4,-8.9,71.5,147.8,0.4,0,402,8.5,0,-0.7,0.92,
11,534833E001,무안군 청계면,2015-01-13,2.5,10.8,-5.2,71.9,57.5,0.3,0,264,9,,1.3,2.45,5
14,539823A001,진도군 군내면,2015-01-14,5.2,7,2.7,76.3,61.9,0.7,0.5,0,1.5,372,,4.71,29.9
14,590823A001,남원시 이백면,2015-01-14,2.2,5.9,-0.4,79.3,151.3,0.5,0,0,2.5,0,1.2,1.66,20.4
14,742290A001,상주시 초산동,2015-01-14,0.2,3.7,-2.4,72.4,142.5,0.3,0,0,3,0,0.2,2.25,35
14,429843A001,시흥시 하중동,2015-01-14,2.2,6.8,-1.3,59.5,282.1,0,0,33,3.5,,,,
14,635821A001,창녕군 대지면,2015-01-14,2.3,5.7,-1,71.2,358.6,0.7,0,0,2.9,204,1.7,0.98,
14,330846A001,천안시 목천읍,2015-01-14,1.4,5.2,-1.9,,,0,0,,,1429,,,
14,487915A001,포천시 신북면,2015-01-14,-0.3,4.6,-4.6,61.6,117,0.6,0,76,1,,-0.3,,24.1
14,618803A001,부산시 강서구,2015-01-14,3.4,5.8,0.4,86,58.6,0.4,3,,4.6,879,,3.42,21.8
14,536824B002,해남군 옥천면,2015-01-14,4.6,8.1,1.8,85.1,233.7,0.1,1.2,,1.5,,,3.73,25.5
14,269811A001,철원군 동송읍,2015-01-14,-1.3,5.2,-6,75.5,275.2,0.4,0,,5.8,0,-1.9,0.44,5.2
12,534833E001,무안군 청계면,2015-01-14,5.3,8,1.7,74.2,49.5,0.2,0,0,1.8,,3.4,3.44,5
14,660985B001,진주시 초전동,2015-01-14,3.1,6.5,0,78.8,32.6,0.1,0,,2.7,218,,1.61,30.1
14,627911A001,밀양시 상남면,2015-01-14,2.6,6,-1.2,77,281.9,0.9,0.5,0,2.8,412,,2.43,28.8
14,714902A001,청도군 화양읍,2015-01-14,2.2,6.3,-1.5,74.8,,0,0,0,3.7,364,,,
15,590823A001,남원시 이백면,2015-01-15,1.2,9,-3.4,78.4,209.1,0.8,0,352,8.3,58,0.8,1.98,20.4
15,330846A001,천안시 목천읍,2015-01-15,2.5,7.8,-2,,,0,0,,,1429,,,
13,534833E001,무안군 청계면,2015-01-15,1.7,8.6,-3.5,84.7,305.4,0.7,0,420,10.4,,0.4,3.16,5
15,635821A001,창녕군 대지면,2015-01-15,4.4,10.9,-2.5,64.3,355.6,1.4,0,216,6.7,160,3.4,1.03,
15,742290A001,상주시 초산동,2015-01-15,1.8,9.3,-3.7,68.6,211.3,0.9,0,67,6.8,37,1.5,2.28,35.2
15,539823A001,진도군 군내면,2015-01-15,4.7,8.5,0.2,75,249.6,1.6,0,427,10.7,315,,4.99,29.9
15,536824B002,해남군 옥천면,2015-01-15,2.7,9.5,-4.5,79.1,297.2,0.8,0.1,,10.2,,,3.45,25.5
15,487915A001,포천시 신북면,2015-01-15,0.8,8.6,-4.2,73.6,129.7,0.3,0,551,12.2,,0.8,,24
15,618803A001,부산시 강서구,2015-01-15,6.1,10.6,1.3,84.2,5,1.6,1.5,,13.1,809,,4.17,22.8
15,269811A001,철원군 동송읍,2015-01-15,0.3,8,-5.8,85.3,272.3,1,0,,9.9,0,-1,0.4,5.8
15,660985B001,진주시 초전동,2015-01-15,5.4,12,-1.5,75.8,14.2,0.8,0,,7.9,0,,3.39,29.8
15,627911A001,밀양시 상남면,2015-01-15,4.4,10.3,-0.9,80.1,282.1,1.2,0,224,6.6,676,,3.75,28.6
15,429843A001,시흥시 하중동,2015-01-15,1.8,8.7,-3,65.7,231.4,0.1,0,258,8.2,,,,
15,714902A001,청도군 화양읍,2015-01-15,3.9,10.5,-2.8,81.1,,0,0,154,6.4,475,,,
14,534833E001,무안군 청계면,2015-01-16,1.9,5.1,-2.8,92.2,296.5,0.6,0.5,0,1.5,,0.8,2.53,5
16,714902A001,청도군 화양읍,2015-01-16,1.1,8.6,-5.5,73.3,,0,0.5,388,9.1,48,,,
16,539823A001,진도군 군내면,2015-01-16,2.7,6.5,-1.8,87.4,275.3,1.7,0.5,0,1.7,1000,,4.9,29.8
16,536824B002,해남군 옥천면,2015-01-16,1.9,6.6,-3.2,87.5,286.2,0.9,0.6,,2,,,3.11,25.6
16,330846A001,천안시 목천읍,2015-01-16,-0.3,2.7,-3.8,,,0,0.5,,,1429,,,
16,635821A001,창녕군 대지면,2015-01-16,1,8.2,-5.2,75.6,269.2,0.9,0,301,7,128,0.9,1.15,
16,627911A001,밀양시 상남면,2015-01-16,1.9,9.1,-3.7,74.7,252.4,1.1,0,294,7.9,134,,3.43,28.5
16,660985B001,진주시 초전동,2015-01-16,1.9,8.9,-4.3,76.9,308.9,0.9,0,,8,2,,2.71,30
16,590823A001,남원시 이백면,2015-01-16,-0.4,1.5,-4.5,93.4,235.5,0.6,1,0,1.2,564,-1,2.05,20.2
16,429843A001,시흥시 하중동,2015-01-16,1.6,4.4,-2.6,76.9,282.4,1.1,0.5,45,3.8,,,,
16,269811A001,철원군 동송읍,2015-01-16,-1,2.5,-5.8,91.3,191.8,1.8,0,,2.5,194,-1.4,0.41,6.5
